empirical,theoretical
4.275527017844061e-08,9.802088683487429e-07
9.666949499220756e-07,2.9411681822270377e-06
2.2291468186781682e-06,4.90285002233286e-06
5.655498666656822e-06,6.865254897111693e-06
8.367196774983904e-06,8.828383315537393e-06
9.157049625795749e-06,1.0792235787112902e-05
1.2833711339477194e-05,1.2756812821870986e-05
1.4050703687883831e-05,1.472211493037496e-05
1.7526490625575236e-05,1.6688142623719418e-05
1.804108603148391e-05,1.8654896413530964e-05
1.857910502706117e-05,2.0622376811968946e-05
2.165593242676664e-05,2.2590584331726193e-05
2.4178917923844273e-05,2.455951948602973e-05
2.7352236364221183e-05,2.652918278864158e-05
2.7697199907129183e-05,2.8499574753859373e-05
2.7982148540595803e-05,3.0470695896517248e-05
2.9838084998491665e-05,3.2442546731986444e-05
3.3368880361640124e-05,3.441512777617614e-05
3.510265909584254e-05,3.638843954553417e-05
3.5213064557483575e-05,3.836248255704776e-05
3.67565589358132e-05,4.033725732824426e-05
4.0373883583542935e-05,4.2312764377191924e-05
4.062045930771502e-05,4.42890042225006e-05
4.217121545474489e-05,4.6265977383322596e-05
4.429568859570798e-05,4.824368437935328e-05
4.571416874196016e-05,5.022212573083194e-05
4.723449699929258e-05,5.220130195854252e-05
4.856437784909323e-05,5.418121358381432e-05
5.267473097035971e-05,5.616186112852279e-05
5.359091131337118e-05,5.814324511509031e-05
5.65189508796686e-05,6.012536606648694e-05
6.182640780559925e-05,6.210822450623112e-05
6.481915756991613e-05,6.409182095839051e-05
6.58922238579232e-05,6.607615594758267e-05
6.66609176315329e-05,6.80612299989759e-05
6.79686442513934e-05,7.004704363829002e-05
6.930576506748373e-05,7.203359739179702e-05
6.991565263386734e-05,7.402089178632194e-05
7.574348535815956e-05,7.600892734924355e-05
7.679835846662389e-05,7.799770460849528e-05
8.071805599437626e-05,7.998722409256574e-05
8.274955730304054e-05,8.19774863304997e-05
8.295130361289996e-05,8.396849185189879e-05
8.519655073512336e-05,8.596024118692232e-05
9.240509479980716e-05,8.795273486628795e-05
9.538132925145451e-05,8.994597342127259e-05
9.593333700540566e-05,9.193995738371311e-05
9.664765832156919e-05,9.393468728600712e-05
9.800587154106324e-05,9.593016366111377e-05
9.902620224618713e-05,9.792638704255459e-05
0.00010000756406086664,9.992335796441416e-05
0.00010083316594161618,0.00010192107696134095
0.00010379580507867761,0.00010391954456854815
0.0001106362385192676,0.00010591876132181439
0.00011224319865116295,0.00010791872775748464
0.0001132339943489824,0.00010991944441247076
0.00011402539402020212,0.00011192091182425266
0.00011443853082796634,0.0001139231305308787
0.00011509692634307372,0.00011592610107096678
0.00011558630986007248,0.00011792982398370507
0.0001171965114491122,0.00011993429980885273
0.0001178039243746945,0.00012193952908674071
0.00011863897498282094,0.0001239455123582727
0.00012027516639220165,0.00012595225016492564
0.00012121747817573844,0.00012795974304875092
0.00012515074247377786,0.00012996799155237489
0.00012691280212388106,0.00013197699621899975
0.0001271519819294846,0.0001339867575924044
0.0001278769605533754,0.00013599727621694513
0.00012949565690253267,0.0001380085526375566
0.0001324659825552854,0.0001400205873997525
0.00014019747082231332,0.00014203338104962654
0.0001408254757702468,0.00014404693413385308
0.0001429804559493035,0.000146061247199688
0.00014385302893106175,0.00014807632079496958
0.00014427750606821332,0.00015009215546811933
0.00014979835014291426,0.00015210875176814267
0.00015203489085077043,0.00015412611024462987
0.000152963846427899,0.00015614423144775694
0.00015326696489287306,0.00015816311592828627
0.00015938235070250828,0.0001601827642375676
0.00016285567556647423,0.00016220317692753876
0.000163509095239954,0.0001642243545507266
0.00016375846625925686,0.00016624629766024776
0.00016633191831579713,0.00016826900680980941
0.0001686041952072663,0.0001702924825537104
0.0001728187625642634,0.0001723167254468415
0.0001742497520159543,0.00017434173604468706
